stock,url,created,suositus,analyytikko
,ostotarjous-affectosta-ei-ole-kovin-avokatinen-mutta-kelpaa-paremman-puutteessa,2017-08-23 08:38:00,,
talenom,avasimme-position-talenomissa,2017-08-28 12:07:00,,
,hyvaksyimme-affecton-ostotarjouksen,2017-09-26 08:49:00,,
nokia,palaamme-nokian-omistajiksi,2017-10-31 15:30:00,,
,mallisalkkukatsaus-2017-kaksijakoinen-vuosi,2017-12-27 23:43:00,,
sotkamo-silver,vetaydymme-sotkamo-silverista,2018-03-07 13:35:00,,
ovaro-kiinteistosijoitus,ostamme-orava-asuntorahastoa-mallisalkkuun,2018-03-12 15:46:00,,
efecte,ostamme-saas-yhtio-efectea-mallisalkkuun,2018-03-16 14:21:00,,
revenio-group,kevensimme-revenion-ylisuurta-painoa-yhtio-jatkaa-suurimpana-omistuksena,2018-05-04 13:26:00,,
innofactor,kuittaamme-tappiot-ja-siirrymme-katsomoon-innofactorissa,2018-05-14 15:41:00,,
,sijoitustutkimus-gf-money,2018-05-17 08:15:00,,
digia,it-sektorin-hyljeksitty-osake-digia-mallisalkkuun,2018-05-23 15:27:00,,
,sijoitustutkimus-huhtanen-capital,2018-05-28 15:29:00,,
,mallisalkku-7-vuotta-vuosituotto-24,2018-07-31 15:22:00,,
remedy,aika-kypsa-remedyn-ostolle-mallisalkkuun,2018-08-17 10:07:00,,
martela,vetaydymme-hanta-koipien-valissa-martelasta,2018-08-27 15:40:00,,
sanoma,kannattavuus-vakaalla-nousu-uralla,2018-10-12 09:03:00,lisää,Petri Aho
revenio-group,kevensimme-hieman-revenion-painoa,2018-10-15 17:20:00,,
lehto-group,tulosvaroitus-nosti-esiin-huomattavia-rakenteellisia-ongelmia,2018-10-22 08:37:00,vähennä,Olli Koponen
sanoma,positiivinen-kannattavuuskehitys-jatkuu,2018-10-25 07:41:00,lisää,Petri Aho
avidly,yhtio-etenee-oikeaan-suuntaan-2,2018-10-25 09:08:00,lisää,Petri Aho
solteq,suunta-oikea-arvostus-haasteena,2018-10-26 08:14:00,vähennä,Petri Aho
srv,heikkoihin-odotuksiin-parempi-suoritus,2018-10-26 08:26:00,vähennä,Olli Koponen
alma-media,marketsin-kasvu-tukee-osaketta,2018-10-26 08:29:00,lisää,Petri Aho
etteplan,hyvan-markkinan-kestavyys-epailyttaa,2018-10-31 08:50:00,vähennä,Juha Kinnunen
wulff-yhtiot,parempaan-suuntaan,2018-11-01 20:22:00,vähennä,Olli Koponen
lehto-group,pienoinen-luottamuksen-palautus,2018-11-05 08:06:00,vähennä,Olli Koponen
efecte,kasvuvauhti-ei-vastaa-viela-panostuksia,2018-11-08 07:50:00,lisää,Petri Aho
ramirent,epavarmuus-syklin-kestavyydesta-varjona,2018-11-08 08:25:00,vähennä,Petri Aho
poyry,suosittelemme-poyryn-omistajia-hyvaksymaan-102-euron-ostotarjouksen,2018-12-10 21:29:00,pidä,Juha Kinnunen
lehto-group,arvostukseen-hinnoiteltu-jo-riittavasti-riskeja,2018-12-12 07:48:00,lisää,Olli Koponen
aspocomp,kaannymme-jalleen-varovaisen-optimistisiksi,2018-12-17 07:52:00,lisää,Juha Kinnunen
wulff-yhtiot,tulosparannuksen-vuosi,2018-12-17 07:53:00,vähennä,Olli Koponen
srv,kalustokauppa-ei-muuta-isoa-kuvaa,2018-12-20 08:50:00,lisää,Olli Koponen
aspocomp,tulosvaroitus-tukee-myos-nakymia,2018-12-21 08:14:00,lisää,Juha Kinnunen
etteplan,heikkenevaa-markkinaa-jo-hinnoiteltu-osakkeeseen,2019-01-01 21:54:00,lisää,Juha Kinnunen
lehto-group,riskit-suuret-arvostukseen-nahden,2019-01-09 08:04:00,vähennä,Olli Koponen
srv,arvostus-ei-tuo-enaa-riittavaa-turvaa-riskeilta,2019-01-15 08:14:00,vähennä,Olli Koponen
yit,yit-q4-suhdanteen-huipputulos-jo-hinnassa,2019-02-04 07:28:00,vähennä,Olli Koponen
relais-group,relais-group-sijoitustutkimus,2019-10-04 15:04:00,,
aspocomp,kaanteen-jalkeen-kannattavaa-kasvua,2021-11-07 16:00:00,lisää,Juha Kinnunen
movinn,movinn-investment-case-29-april-2022-hc-andersen-capital,2022-05-04 17:01:00,,
agillic,agillic-investment-case-25-march-2022-hc-andersen-capital,2022-05-04 17:46:00,,
ascelia-pharma,ascelia-pharma-investment-case-24-march-2022-hc-andersen-capital,2022-05-04 18:24:00,,
astralis,astralis-investment-case-12-may-2022-hc-andersen-capital,2022-05-12 12:04:00,,
inderes,inderes-finnish-market-done-pan-nordic-next-seb,2022-05-18 20:17:00,,
,hc-andersen-capital-software-service-report-may-2022,2022-05-25 20:43:00,,
inderes,some-improvement-over-q1-more-h2,2022-07-25 22:21:00,,
inderes,q2-broadly-expected-minor-miss-profits,2022-08-02 09:48:00,,
inderes,strong-core-small-steps-nordics,2022-08-02 22:02:00,,
,greentech-sector-report,2022-09-06 13:00:00,,
inderes,inderes-lowers-guidance-ranges-new-ebita-mid-point-34-below-seb-estimate,2022-09-27 00:37:00,,
inderes,pandemic-effects-reverse,2022-10-05 09:20:00,,
,robotics-sector-report-deglobalization-and-nearshoring-could-support-high-growth,2022-10-28 16:50:00,,
